Matías,DreamSound: Deep Activation Layer Sonification,"['Federico Nicolás Cámara Halac', 'Matías Delgadino']",2021
Tomás,"AudioStellar, an open source corpus-based musical instrument for latent sound structure discovery and sonic experimentation","['Leandro Garber', 'Tomás Ciccola', 'Juan Cruz Amusategui']",2021
Chuck-jee,Guitar Virtual Instrument using Physical Modelling with Collision Simulation,"['Ka-wing Ho', 'Yiu Ling', 'Chuck-jee Chau']",2021
PerMagnus,Sonification of Glitch-Video: Making and Evaluating Audiovisual Art made from the Betta Fish,"['Kittiphan Janbuala', 'PerMagnus Lindborg']",2021
Jônatas,Emerging structures within microtime of Ligeti’s Continuum,"['Micael Antunes', 'Danilo Rossetti', 'Jônatas Manzolli']",2021
F.,Perceptual Evaluation of Sound Trajectories in Space,"['F. Schumacher', 'V. Espinoza', 'R. Vergara', 'F. Mardones', 'A. Aranguiz', 'V. Aguilera']",2021
V.,Perceptual Evaluation of Sound Trajectories in Space,"['F. Schumacher', 'V. Espinoza', 'R. Vergara', 'F. Mardones', 'A. Aranguiz', 'V. Aguilera']",2021
R.,Perceptual Evaluation of Sound Trajectories in Space,"['F. Schumacher', 'V. Espinoza', 'R. Vergara', 'F. Mardones', 'A. Aranguiz', 'V. Aguilera']",2021
F.,Perceptual Evaluation of Sound Trajectories in Space,"['F. Schumacher', 'V. Espinoza', 'R. Vergara', 'F. Mardones', 'A. Aranguiz', 'V. Aguilera']",2021
A.,Perceptual Evaluation of Sound Trajectories in Space,"['F. Schumacher', 'V. Espinoza', 'R. Vergara', 'F. Mardones', 'A. Aranguiz', 'V. Aguilera']",2021
V.,Perceptual Evaluation of Sound Trajectories in Space,"['F. Schumacher', 'V. Espinoza', 'R. Vergara', 'F. Mardones', 'A. Aranguiz', 'V. Aguilera']",2021
Artemi-Maria,"Converge/Diverge: Collaborative Emergence in a Composition for Piano, Double Bass and Interactive Music System.",['Artemi-Maria Gioti'],2021
Carmine-Emanuele,OrchideaSOL: a dataset of extended instrumental techniques for computer-aided orchestration,"['Carmine-Emanuele Cella', 'Daniele Ghisi', 'Vincent Lostanlen', 'Fabien Lévy', 'Joshua Fineberg', 'Yan Maresz']",2021
Tsung-Ching,The Real-time Synthesis of the Ancient Chinese ChimeBells Instrument of Marquis Yi in Max/MSP Using FZARMA Model,['Tsung-Ching Liu'],2021
