Name,Title,Names
Hironori,Haptic Music Player---Synthetic audio-tactile stimuli generation based on the notes' pitch and instruments' envelope mapping,"[u'Alfonso Balandra', u'Hironori Mitake', u'Shoichi Hasegawa']"
Barah,"Transdisciplinary Methodology: from Theory to the Stage, Creation for the {SIC}MAP","[u""Barah H\\'{e}on-Morissette""]"
Chryssie,Notation for {3D} Motion Tracking Controllers: A Gametrak Case Study,"[u'Madeline Huberth', u'Chryssie Nanou']"
Tae-Hong,The HandSolo: A Hand Drum Controller for Natural Rhythm Entry and Production,"[u'Kunal Jathal', u'Tae-Hong Park']"
Άngel,Drumming with style: From user needs to a working prototype,"[u'Sergi Jord\\`{a}', u""Daniel G\\'{o}mez-Mar\\'{i}n"", u""\\'{A}ngel Faraldo"", u'Perfecto Herrera']"
Tetsuaki,NAKANISYNTH: An Intuitive Freehand Drawing Waveform Synthesiser Application for iOS Devices,"[u'Kyosuke Nakanishi', u'Paul Haimes', u'Tetsuaki Baba', u'Kumiko Kushiyama']"
Càrthach,An Interactive Software Instrument for Real-time Rhythmic Concatenative Synthesis,"[u""C\\`{a}rthach \\'{O} Nuan\\`{a}in"", u'Sergi Jord\\`{a}', u'Perfecto Herrera']"
Gorkem,PORTAL: An Audiovisual Laser Performance System,"[u'Gorkem Ozdemir', u'Anil Camci', u'Angus Forbes']"
Leshao,A Web Application for Audience Participation in Live Music Performance: The Open Symphony Use Case,"[u'Leshao Zhang', u'Yongmeng Wu', u'Mathieu Barthet']"
Yongmeng,A Web Application for Audience Participation in Live Music Performance: The Open Symphony Use Case,"[u'Leshao Zhang', u'Yongmeng Wu', u'Mathieu Barthet']"
