"","Year","MaleCount","FemaleCount","UnknownCount","TotNames","Male","Female","Unknown"
"1",1975,23,2,3,28,0.821428571428571,0.0714285714285714,0.107142857142857
"2",1977,22,3,0,25,0.88,0.12,0
"3",1978,68,6,2,76,0.894736842105263,0.0789473684210526,0.0263157894736842
"4",1980,63,5,6,74,0.851351351351351,0.0675675675675676,0.0810810810810811
"5",1981,73,2,4,79,0.924050632911392,0.0253164556962025,0.0506329113924051
"6",1982,78,7,4,89,0.876404494382023,0.0786516853932584,0.0449438202247191
"7",1983,22,3,3,28,0.785714285714286,0.107142857142857,0.107142857142857
"8",1984,63,7,7,77,0.818181818181818,0.0909090909090909,0.0909090909090909
"9",1985,97,5,3,105,0.923809523809524,0.0476190476190476,0.0285714285714286
"10",1986,156,7,14,177,0.88135593220339,0.0395480225988701,0.0790960451977401
"11",1987,76,6,1,83,0.91566265060241,0.072289156626506,0.0120481927710843
"12",1988,82,4,5,91,0.901098901098901,0.043956043956044,0.0549450549450549
"13",1989,120,9,10,139,0.863309352517986,0.0647482014388489,0.0719424460431655
"14",1990,196,15,9,220,0.890909090909091,0.0681818181818182,0.0409090909090909
"15",1991,209,16,7,232,0.900862068965517,0.0689655172413793,0.0301724137931034
"16",1992,170,12,11,193,0.880829015544041,0.0621761658031088,0.0569948186528497
"17",1993,199,16,25,240,0.829166666666667,0.0666666666666667,0.104166666666667
"18",1994,237,10,4,251,0.944223107569721,0.0398406374501992,0.0159362549800797
"19",1995,275,21,11,307,0.895765472312704,0.0684039087947883,0.0358306188925081
"20",1996,262,28,10,300,0.873333333333333,0.0933333333333333,0.0333333333333333
"21",1997,212,25,9,246,0.861788617886179,0.101626016260163,0.0365853658536585
"22",1998,206,13,10,229,0.899563318777293,0.0567685589519651,0.0436681222707424
"23",1999,276,37,13,326,0.846625766871166,0.113496932515337,0.0398773006134969
"24",2000,274,43,9,326,0.840490797546012,0.131901840490798,0.0276073619631902
"25",2001,232,22,2,256,0.90625,0.0859375,0.0078125
"26",2002,221,33,10,264,0.837121212121212,0.125,0.0378787878787879
"27",2003,151,19,4,174,0.867816091954023,0.109195402298851,0.0229885057471264
"28",2004,280,27,8,315,0.888888888888889,0.0857142857142857,0.0253968253968254
"29",2005,431,45,11,487,0.885010266940452,0.0924024640657084,0.0225872689938398
"30",2006,280,30,6,316,0.886075949367089,0.0949367088607595,0.0189873417721519
"31",2007,446,61,14,521,0.856046065259117,0.117082533589251,0.0268714011516315
"32",2008,357,43,8,408,0.875,0.105392156862745,0.0196078431372549
"33",2009,258,34,6,298,0.865771812080537,0.114093959731544,0.0201342281879195
"34",2010,276,25,6,307,0.899022801302932,0.0814332247557003,0.0195439739413681
"35",2011,270,28,5,303,0.891089108910891,0.0924092409240924,0.0165016501650165
"36",2012,213,30,6,249,0.855421686746988,0.120481927710843,0.0240963855421687
"37",2013,141,19,7,167,0.844311377245509,0.11377245508982,0.0419161676646707
"38",2014,611,88,15,714,0.855742296918767,0.123249299719888,0.0210084033613445
"39",2015,173,31,8,212,0.816037735849057,0.14622641509434,0.0377358490566038
"40",2016,198,32,6,236,0.838983050847458,0.135593220338983,0.0254237288135593
"41",2017,163,29,10,202,0.806930693069307,0.143564356435644,0.0495049504950495
"42",2018,101,16,6,123,0.821138211382114,0.130081300813008,0.048780487804878
"43",2019,149,26,7,182,0.818681318681319,0.142857142857143,0.0384615384615385
"44",2021,170,28,14,212,0.80188679245283,0.132075471698113,0.0660377358490566
